time,open,high,low,close,tick_volume,spread,real_volume
2026-08-07 12:10:00,4319.165,4322.81,4314.739,4315.097,1203,244,0
2026-08-07 12:15:00,4314.875,4316.899,4311.95,4314.456,1548,260,0
2026-08-07 12:20:00,4314.235,4317.259,4310.308,4310.739,1391,252,0
2026-08-07 12:25:00,4310.832,4315.652,4300.837,4307.61,2256,260,0
2026-08-07 12:30:00,4307.62,4364.679,4307.285,4360.002,5389,276,0
2026-08-07 12:35:00,4359.892,4366.587,4351.839,4364.504,7107,260,0
2026-08-07 12:40:00,4364.279,4370.911,4360.964,4366.916,4744,260,0
2026-08-07 12:45:00,4367.071,4371.969,4366.503,4368.79,3601,260,0
2026-08-07 12:50:00,4368.57,4371.87,4363.196,4364.641,3606,260,0
2026-08-07 12:55:00,4364.694,4365.604,4355.487,4361.211,2977,260,0
2026-08-07 13:00:00,4361.273,4364.339,4347.295,4347.48,4620,260,0
2026-08-07 13:05:00,4347.184,4352.816,4345.842,4350.424,2935,260,0
2026-08-07 13:10:00,4350.54,4351.104,4346.178,4347.933,2534,260,0
2026-08-07 13:15:00,4347.87,4349.185,4338.971,4346.999,2397,260,0
2026-08-07 13:20:00,4347.198,4353.643,4347.198,4349.955,2443,260,0
2026-08-07 13:25:00,4350.008,4358.081,4348.218,4356.313,2426,260,0
2026-08-07 13:30:00,4356.37,4359.679,4350.518,4353.516,4413,260,0
2026-08-07 13:35:00,4353.462,4366.352,4350.037,4364.957,3854,260,0
2026-08-07 13:40:00,4364.805,4368.086,4358.157,4358.722,2855,260,0
2026-08-07 13:45:00,4358.66,4359.998,4352.014,4353.691,3213,260,0
2026-08-07 13:50:00,4353.746,4358.439,4352.162,4354.721,2670,260,0
2026-08-07 13:55:00,4354.938,4357.149,4342.316,4348.071,3259,260,0
2026-08-07 14:00:00,4348.263,4349.023,4333.296,4333.382,2892,260,0
2026-08-07 14:05:00,4333.729,4338.463,4330.477,4337.908,4566,260,0
2026-08-07 14:10:00,4337.562,4342.019,4327.19,4334.37,3556,260,0
2026-08-07 14:15:00,4334.432,4346.842,4330.501,4345.821,3225,260,0
2026-08-07 14:20:00,4345.759,4352.215,4343.426,4351.168,2654,256,0
2026-08-07 14:25:00,4351.227,4353.036,4347.804,4348.987,2527,260,0
2026-08-07 14:30:00,4348.773,4350.801,4343.676,4347.418,2627,260,0
2026-08-07 14:35:00,4347.536,4349.611,4342.694,4343.439,2381,260,0
2026-08-07 14:40:00,4343.546,4350.344,4342.162,4344.293,2233,260,0
2026-08-07 14:45:00,4344.352,4346.965,4340.195,4342.967,1907,256,0
2026-08-07 14:50:00,4343.023,4348.994,4342.968,4345.147,1977,260,0
2026-08-07 14:55:00,4345.185,4346.454,4340.332,4341.405,1907,260,0
2026-08-07 15:00:00,4341.618,4348.813,4339.966,4345.154,2676,260,0
2026-08-07 15:05:00,4344.827,4353.594,4344.622,4348.603,1790,260,0
